id,correct_word,incorrect_word,error_type,edit_distance,word_length,word_frequency
1,esquire,esqquire,insertion,1,7,9615
2,chasing,chasing,correct,0,7,21260
3,solely,solelly,insertion,1,6,46404
4,dampierre,damperre,deletion,1,9,1287
5,freier,freier,correct,0,6,903
6,dodecanese,dodeecanese,insertion,1,10,1562
7,neill,neill,correct,0,5,54945
8,aberavon,aberavon,correct,0,8,1830
9,patinkin,patinkn,deletion,1,8,887
10,balbi,blbi,deletion,1,5,1208
11,marsters,marters,deletion,1,8,1085
12,isolates,isomates,substitution,1,8,3601
13,exhibiting,exhibitiyng,insertion,1,10,12837
14,variance,variancee,insertion,1,8,11928
15,kleinschmidt,kleinschidt,deletion,1,12,1116
16,adcock,adcock,correct,0,6,4486
17,kulik,kilik,substitution,1,5,1709
18,dilworth,dilworthh,insertion,1,8,1700
19,ffestiniog,ffesiniog,deletion,1,10,2343
20,absorb,abeorb,substitution,1,6,13130
21,suicides,suicidesz,insertion,1,8,21537
22,haggerty,haggetty,substitution,1,8,3345
23,lethargy,lethargy,correct,0,8,1160
24,sibyl,sibrl,substitution,1,5,2522
25,bulges,bulgess,insertion,1,6,1010
26,aguayo,agayo,deletion,1,6,2706
27,overstreet,overstreet,correct,0,10,2130
28,naveen,naveen,correct,0,6,4240
29,catalonia,catalonia,correct,0,9,38386
30,tiruvannamalai,tiruvannlmalai,substitution,1,14,1308
31,joyfully,jwyfully,substitution,1,8,1115
32,talal,talal,correct,0,5,3169
33,novgorod,noovgorod,insertion,1,8,23521
34,preservative,presservative,insertion,1,12,1703
35,duwamish,dhwamish,substitution,1,8,1074
36,apink,aeink,substitution,1,5,942
37,manjrekar,manjrekav,substitution,1,9,1087
38,imitated,imtated,deletion,1,8,4693
39,volksbank,volksbank,correct,0,9,1107
40,prostaglandin,prostaglcandin,insertion,1,13,1178
41,golarsa,golarca,substitution,1,7,916
42,sasquatch,sasquatch,correct,0,9,1923
43,sudhir,sudhr,deletion,1,6,3930
44,wineries,wineriesa,insertion,1,8,5629
45,chaconne,chconne,deletion,1,8,1170
46,tinnitus,tinhitus,substitution,1,8,1364
47,maltsev,mltsev,deletion,1,7,887
48,eisen,eisn,deletion,1,5,2675
49,seabees,seebees,substitution,1,7,1696
50,hawkeyes,hawkeyes,correct,0,8,6852
51,engie,enggie,insertion,1,5,1164
52,revoked,revokedd,insertion,1,7,15812
53,sleds,slems,substitution,1,5,1369
54,digit,digt,deletion,1,5,25706
55,unidentified,unidentxfied,substitution,1,12,29816
56,napster,napsteer,insertion,1,7,1141
57,placement,placement,correct,0,9,47582
58,semitones,sejitones,substitution,1,9,961
59,dance,dance,correct,0,5,445436
60,benevolent,benevolvnt,substitution,1,10,10117
61,damper,damper,correct,0,6,2621
62,worshiping,worshipiqg,substitution,1,10,1647
63,sodom,sorom,substitution,1,5,2936
64,laffite,laffite,correct,0,7,1427
65,eyck,eyckk,insertion,1,4,3918
66,collectable,collectfble,substitution,1,11,1201
67,exhumation,exhumatioon,insertion,1,10,1588
68,pappenheim,pappenhem,deletion,1,10,912
69,diocese,diocesq,substitution,1,7,173488
70,xlix,xlix,correct,0,4,1710
71,collation,collattion,insertion,1,9,1397
72,rubinstein,rubixstein,substitution,1,10,6913
73,ligand,ligagd,substitution,1,6,9578
74,murcia,mrcia,deletion,1,6,18598
75,interconnections,intefconnections,substitution,1,16,1172
76,splits,splts,deletion,1,6,15420
77,obaid,obcid,substitution,1,5,1560
78,fragmentation,frajmentation,substitution,1,13,11509
79,basement,basement,correct,0,8,50803
80,malbork,maabork,substitution,1,7,1421
81,intuit,intut,deletion,1,6,1216
82,panoz,panz,deletion,1,5,1983
83,novokuznetsk,novokuzntsk,deletion,1,12,2267
84,sore,soreb,insertion,1,4,5352
85,pashto,pashto,correct,0,6,5458
86,gigas,gigas,correct,0,5,2736
87,dorling,dorming,substitution,1,7,1794
88,latex,latex,correct,0,5,5670
89,tacklers,tcklers,deletion,1,8,2983
90,bathe,bathee,insertion,1,5,3258
91,sticker,sticcker,insertion,1,7,6220
92,isopropyl,ispropyl,deletion,1,9,1339
93,regenerate,regeerate,deletion,1,10,3791
94,rapidly,rapiidly,insertion,1,7,81806
95,scanian,scanian,correct,0,7,1317
96,hopped,hopped,correct,0,6,919
97,ogc,ogc,correct,0,3,2333
98,balloon,ballooon,insertion,1,7,29472
99,fetuses,ftuses,deletion,1,7,1858
100,jonne,jorne,substitution,1,5,906
